,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
153,6.3,2.51,8.14,2.853,5.0,14.0,7.22
154,0.013,0.114,2.782,1.668,7.0,14.0,1.398
155,0.214,0.463,3.87,1.967,8.0,14.0,2.042
156,1.616,1.271,1.726,1.314,9.0,14.0,1.671
157,4.372,2.091,21.854,4.675,11.0,14.0,13.113
158,16.35,4.044,10.598,3.255,12.0,14.0,13.474
159,0.008,0.091,0.075,0.274,13.0,14.0,0.042
160,4.771,2.184,32.465,5.698,14.0,14.0,18.618
161,1.684,1.298,2.113,1.454,15.0,14.0,1.899
162,14.218,3.771,14.408,3.796,1.0,15.0,14.313
163,1.652,1.285,2.261,1.504,2.0,15.0,1.957
164,4.258,2.063,1.822,1.35,3.0,15.0,3.04
165,0.055,0.235,6.297,2.509,4.0,15.0,3.176
166,13.786,3.713,0.302,0.549,5.0,15.0,7.044
167,1.639,1.28,4.548,2.133,7.0,15.0,3.093
168,0.183,0.428,0.106,0.326,8.0,15.0,0.145
169,0.009,0.096,16.241,4.03,9.0,15.0,8.125
170,2.314,1.521,7.434,2.727,11.0,15.0,4.874
171,1.791,1.338,12.79,3.576,12.0,15.0,7.29
172,0.45,0.671,29.057,5.39,13.0,15.0,14.754
173,0.206,0.454,0.69,0.83,14.0,15.0,0.448
174,0.043,0.207,221.379,14.879,15.0,15.0,110.711
175,4.433,2.105,21.287,4.614,1.0,16.0,12.86
176,7.598,2.757,30.551,5.527,2.0,16.0,19.075
177,3.466,1.862,21.921,4.682,3.0,16.0,12.694
178,0.265,0.514,26.125,5.111,4.0,16.0,13.195
179,7.679,2.771,0.55,0.741,5.0,16.0,4.115
180,0.084,0.29,0.759,0.871,7.0,16.0,0.422
181,0.379,0.616,0.035,0.188,8.0,16.0,0.207
182,2.081,1.443,0.925,0.962,9.0,16.0,1.503
183,1.262,1.123,3.23,1.797,11.0,16.0,2.246
184,0.032,0.179,2.957,1.72,12.0,16.0,1.495
185,0.058,0.24,7.293,2.701,13.0,16.0,3.676
186,0.115,0.34,3.344,1.829,14.0,16.0,1.73
187,0.02,0.14,8.623,2.937,15.0,16.0,4.321
188,9.119,3.02,6.392,2.528,1.0,17.0,7.755
189,8.388,2.896,0.318,0.564,2.0,17.0,4.353
190,0.585,0.765,4.289,2.071,3.0,17.0,2.437
191,0.393,0.627,3.349,1.83,4.0,17.0,1.871
192,11.192,3.345,1.079,1.039,5.0,17.0,6.135
193,0.357,0.598,1.35,1.162,7.0,17.0,0.854
194,2.409,1.552,4.692,2.166,8.0,17.0,3.551
195,2.36,1.536,2.646,1.627,9.0,17.0,2.503
196,13.578,3.685,1.098,1.048,11.0,17.0,7.338
197,2.392,1.547,55.942,7.479,12.0,17.0,29.167
198,13.13,3.624,3.016,1.737,13.0,17.0,8.073
199,0.838,0.915,33.397,5.779,14.0,17.0,17.117
200,14.364,3.79,1.096,1.047,15.0,17.0,7.73
201,10.095,3.177,42.479,6.518,7.0,18.0,26.287
202,1.244,1.115,25.32,5.032,8.0,18.0,13.282
203,2.196,1.482,0.017,0.132,9.0,18.0,1.106
204,40.429,6.358,6.056,2.461,1.0,19.0,23.243
205,8.838,2.973,7.063,2.658,2.0,19.0,7.95
206,3.211,1.792,24.948,4.995,3.0,19.0,14.08
207,1.189,1.09,6.566,2.562,4.0,19.0,3.878
208,4.893,2.212,2.32,1.523,5.0,19.0,3.607
209,0.043,0.207,7.241,2.691,7.0,19.0,3.642
210,0.016,0.127,22.067,4.698,8.0,19.0,11.041
211,9.562,3.092,19.18,4.379,9.0,19.0,14.371
212,4.646,2.155,15.17,3.895,11.0,19.0,9.908
213,0.239,0.489,2.865,1.693,12.0,19.0,1.552
214,10.848,3.294,21.894,4.679,13.0,19.0,16.371
215,4.43,2.105,1.641,1.281,14.0,19.0,3.035
216,2.976,1.725,114.393,10.695,15.0,19.0,58.685
217,9.265,3.044,2.445,1.564,1.0,20.0,5.855
218,13.284,3.645,44.969,6.706,2.0,20.0,29.127
219,0.27,0.52,10.472,3.236,3.0,20.0,5.371
220,4.469,2.114,0.355,0.596,4.0,20.0,2.412
221,1.676,1.295,5.807,2.41,5.0,20.0,3.742
222,5.492,2.343,0.248,0.498,7.0,20.0,2.87
223,1.967,1.403,0.076,0.276,8.0,20.0,1.022
224,1.831,1.353,0.103,0.321,9.0,20.0,0.967
225,0.255,0.505,4.966,2.229,11.0,20.0,2.611
226,6.32,2.514,18.35,4.284,12.0,20.0,12.335
227,0.95,0.975,0.983,0.991,13.0,20.0,0.966
228,1.578,1.256,74.026,8.604,14.0,20.0,37.802
229,5.446,2.334,20.737,4.554,15.0,20.0,13.091
230,18.223,4.269,0.665,0.815,1.0,21.0,9.444
231,9.119,3.02,5.912,2.431,2.0,21.0,7.516
232,0.148,0.384,0.941,0.97,3.0,21.0,0.544
233,3.0,1.732,2.007,1.417,4.0,21.0,2.503
234,1.905,1.38,0.078,0.279,5.0,21.0,0.992
235,6.839,2.615,0.073,0.269,7.0,21.0,3.456
236,0.992,0.996,0.001,0.034,8.0,21.0,0.496
237,1.828,1.352,0.095,0.308,9.0,21.0,0.962
238,0.909,0.953,42.067,6.486,11.0,21.0,21.488
239,10.159,3.187,27.716,5.265,12.0,21.0,18.938
240,0.118,0.344,0.058,0.242,13.0,21.0,0.088
241,2.799,1.673,7.571,2.752,14.0,21.0,5.185
242,3.479,1.865,0.403,0.635,15.0,21.0,1.941
243,12.448,3.528,27.215,5.217,1.0,22.0,19.831
244,1.026,1.013,1.679,1.296,2.0,22.0,1.352
245,4.63,2.152,5.717,2.391,3.0,22.0,5.174
246,7.536,2.745,13.147,3.626,4.0,22.0,10.341
247,3.44,1.855,13.01,3.607,5.0,22.0,8.225
248,2.36,1.536,8.351,2.89,7.0,22.0,5.355
249,0.9,0.949,30.741,5.544,8.0,22.0,15.821
250,1.393,1.18,7.162,2.676,9.0,22.0,4.278
251,0.295,0.544,11.13,3.336,11.0,22.0,5.713
252,2.359,1.536,5.74,2.396,12.0,22.0,4.05
253,0.004,0.061,5.247,2.291,13.0,22.0,2.625
254,4.343,2.084,5.205,2.281,14.0,22.0,4.774
255,26.038,5.103,18.454,4.296,15.0,22.0,22.246
256,2.417,1.555,0.01,0.098,1.0,23.0,1.213
257,0.725,0.851,0.559,0.748,2.0,23.0,0.642
258,31.479,5.611,15.885,3.986,3.0,23.0,23.682
259,0.078,0.28,0.142,0.377,4.0,23.0,0.11
260,24.788,4.979,56.018,7.485,5.0,23.0,40.403
261,1.735,1.317,25.593,5.059,7.0,23.0,13.664
262,4.668,2.161,1.619,1.272,8.0,23.0,3.143
263,3.926,1.981,2.959,1.72,9.0,23.0,3.442
264,1.06,1.03,3.951,1.988,11.0,23.0,2.506
265,0.209,0.458,4.22,2.054,12.0,23.0,2.215
266,0.709,0.842,20.225,4.497,13.0,23.0,10.467
267,1.441,1.201,2.268,1.506,14.0,23.0,1.854
268,1.804,1.343,0.066,0.256,15.0,23.0,0.935
269,13.079,3.617,27.797,5.272,1.0,25.0,20.438
270,7.913,2.813,13.719,3.704,2.0,25.0,10.816
271,0.718,0.847,3.288,1.813,3.0,25.0,2.003
272,1.51,1.229,8.924,2.987,4.0,25.0,5.217
273,0.1,0.316,0.001,0.035,5.0,25.0,0.05
274,0.061,0.248,6.359,2.522,6.0,25.0,3.21
275,0.232,0.482,2.086,1.444,7.0,25.0,1.159
276,2.5,1.581,7.462,2.732,8.0,25.0,4.981
277,0.897,0.947,2.792,1.671,9.0,25.0,1.844
278,1.208,1.099,10.386,3.223,10.0,25.0,5.797
279,5.015,2.239,2.616,1.617,11.0,25.0,3.816
280,1.383,1.176,2.139,1.462,12.0,25.0,1.761
281,5.507,2.347,7.485,2.736,13.0,25.0,6.496
282,25.276,5.028,0.299,0.547,14.0,25.0,12.788
283,100.301,10.015,1.005,1.002,15.0,25.0,50.653
284,49.378,7.027,6.56,2.561,1.0,26.0,27.969
285,15.52,3.94,2.045,1.43,2.0,26.0,8.783
286,1.672,1.293,7.536,2.745,3.0,26.0,4.604
287,0.752,0.867,0.731,0.855,4.0,26.0,0.741
288,7.237,2.69,14.769,3.843,5.0,26.0,11.003
289,0.408,0.639,5.137,2.266,6.0,26.0,2.772
290,0.537,0.733,2.005,1.416,7.0,26.0,1.271
291,1.456,1.207,9.73,3.119,8.0,26.0,5.593
292,8.113,2.848,2.779,1.667,9.0,26.0,5.446
293,2.598,1.612,3.753,1.937,10.0,26.0,3.176
294,1.941,1.393,23.334,4.831,11.0,26.0,12.638
295,3.403,1.845,15.654,3.956,12.0,26.0,9.528
296,1.161,1.078,4.378,2.092,13.0,26.0,2.77
297,53.113,7.288,17.286,4.158,14.0,26.0,35.2
298,12.003,3.465,0.029,0.17,15.0,26.0,6.016
299,4.793,2.189,8.65,2.941,1.0,27.0,6.721
300,52.939,7.276,5.019,2.24,2.0,27.0,28.979
301,1.101,1.049,8.103,2.847,3.0,27.0,4.602
302,1.217,1.103,5.072,2.252,4.0,27.0,3.144
303,16.615,4.076,1.341,1.158,5.0,27.0,8.978
304,0.083,0.288,3.406,1.845,6.0,27.0,1.744
305,0.035,0.188,76.538,8.749,7.0,27.0,38.287
306,0.003,0.051,3.486,1.867,8.0,27.0,1.745
307,3.101,1.761,10.187,3.192,9.0,27.0,6.644
308,3.325,1.824,3.857,1.964,10.0,27.0,3.591
309,3.35,1.83,4.574,2.139,11.0,27.0,3.962
310,12.842,3.584,40.318,6.35,12.0,27.0,26.58
311,1.267,1.126,5.59,2.364,13.0,27.0,3.429
312,1.743,1.32,28.997,5.385,14.0,27.0,15.37
313,40.53,6.366,5.613,2.369,15.0,27.0,23.071
314,2.81,1.676,6.613,2.572,1.0,28.0,4.712
315,19.328,4.396,28.42,5.331,2.0,28.0,23.874
