94;51,567;7,181;1,845;1,358;1;9
95;37,418;6,117;1,884;1,373;2;9
96;25,665;5,066;19,246;4,387;3;9
97;17,219;4,15;3,166;1,779;4;9
98;10,307;3,21;112,245;10,595;5;9
99;0,943;0,971;4,075;2,019;7;9
100;0,002;0,041;38,216;6,182;8;9
101;1,244;1,115;4,058;2,014;9;9
102;9,333;3,055;113,726;10,664;11;9
103;17,26;4,154;3,547;1,883;12;9
104;26,799;5,177;19,692;4,438;13;9
105;38,028;6,167;1,904;1,38;14;9
106;52,22;7,226;1,801;1,342;15;9
107;54,798;7,403;4,804;2,192;1;10
108;38,845;6,233;3,247;1,802;2;10
109;26,336;5,132;0,973;0,987;3;10
110;17,071;4,132;1,499;1,224;4;10
111;9,008;3,001;13,671;3,697;5;10
112;0,793;0,89;1,867;1,366;7;10
113;0,001;0,031;39,415;6,278;8;10
114;1,509;1,228;1,996;1,413;9;10
115;9,688;3,113;13,169;3,629;11;10
116;16,459;4,057;1,455;1,206;12;10
117;26,697;5,167;0,983;0,991;13;10
118;38,103;6,173;3,288;1,813;14;10
119;53,976;7,347;4,872;2,207;15;10
120;51,916;7,205;1,155;1,075;1;11
121;38,283;6,187;7,138;2,672;2;11
122;26,432;5,141;2,565;1,602;3;11
123;16,324;4,04;10,296;3,209;4;11
124;9,507;3,083;1,197;1,094;5;11
125;0,847;0,92;40,612;6,373;7;11
126;0;0,014;0,851;0,922;8;11
127;1,357;1,165;41,22;6,42;9;11
128;8,942;2,99;1,198;1,094;11;11
129;16,939;4,116;10,342;3,216;12;11
130;26,05;5,104;2,691;1,64;13;11
131;38,763;6,226;7,155;2,675;14;11
132;50,811;7,128;1,192;1,092;15;11
133;0,975;0,987;36,708;6,059;7;12
134;0;0,006;8,075;2,842;8;12
135;1,249;1,118;36,701;6,058;9;12
136;50,474;7,105;74,078;8,607;1;13
137;37,243;6,103;90,171;9,496;2;13
138;25,696;5,069;102,656;10,132;3;13
139;17,192;4,146;11,837;3,441;4;13
140;9,218;3,036;39,435;6,28;5;13
141;1,02;1,01;33,55;5,792;7;13
142;0,012;0,109;78,688;8,871;8;13
143;1,187;1,089;33,876;5,82;9;13
144;9,207;3,034;39,203;6,261;11;13
145;16,279;4,035;11,676;3,417;12;13
146;25,839;5,083;102,33;10,116;13;13
147;37,25;6,103;90,451;9,511;14;13
148;51,21;7,156;74,211;8,615;15;13
149;52,448;7,242;25,182;5,018;1;14
150;37,139;6,094;89,196;9,444;2;14
151;25,81;5,08;136,087;11,666;3;14
152;17,396;4,171;3,787;1,946;4;14
153;9,129;3,021;16,452;4,056;5;14
154;0,998;0,999;25,813;5,081;7;14
155;0,007;0,084;16,928;4,114;8;14
156;1,173;1,083;25,336;5,034;9;14
157;10,298;3,209;17,03;4,127;11;14
158;16,877;4,108;4,203;2,05;12;14
159;26,73;5,17;135,856;11,656;13;14
160;37,955;6,161;89,595;9,465;14;14
161;51,566;7,181;25,525;5,052;15;14
162;50,442;7,102;12,316;3,509;1;15
163;38,6;6,213;34,113;5,841;2;15
164;26,284;5,127;4,284;2,07;3;15
165;17,011;4,124;15,182;3,896;4;15
166;9,725;3,118;14,966;3,869;5;15
167;0,972;0,986;5,702;2,388;7;15
168;0,001;0,038;0,599;0,774;8;15
169;1,164;1,079;5,777;2,404;9;15
170;10,329;3,214;14,98;3,87;11;15
171;16,83;4,102;15,202;3,899;12;15
172;26,014;5,1;4,27;2,066;13;15
173;37,971;6,162;33,127;5,756;14;15
174;50,742;7,123;12,335;3,512;15;15
175;51,932;7,206;6,505;2,55;1;16
176;37,686;6,139;10,299;3,209;2;16
177;26,981;5,194;17,336;4,164;3;16
178;17,552;4,189;2,753;1,659;4;16
179;9,123;3,02;22,508;4,744;5;16
180;0,937;0,968;3,093;1,759;7;16
181;0;0,022;0,153;0,391;8;16
182;1,159;1,077;2,881;1,697;9;16
183;10,042;3,169;22,716;4,766;11;16
184;16,875;4,108;2,86;1,691;12;16
185;26,108;5,11;17,739;4,212;13;16
186;38,447;6,201;9,963;3,156;14;16
