,X_MSE_AV_1,X_MAE_AV_1,Y_MSE_AV_1,Y_MAE_AV_1,x_test_1,y_test_1,dir_1
149,2.011,1.418,4.273,2.067,1.0,14.0,3.142
150,1.124,1.06,0.159,0.399,2.0,14.0,0.642
151,0.221,0.47,6.519,2.553,3.0,14.0,3.37
152,0.775,0.881,4.646,2.156,4.0,14.0,2.711
153,18.205,4.267,12.785,3.576,5.0,14.0,15.495
154,0.274,0.523,11.129,3.336,7.0,14.0,5.701
155,0.019,0.14,1.611,1.269,8.0,14.0,0.815
156,0.868,0.932,6.78,2.604,9.0,14.0,3.824
157,0.467,0.684,3.698,1.923,11.0,14.0,2.083
158,15.733,3.966,71.192,8.438,12.0,14.0,43.462
159,0.018,0.132,0.012,0.109,13.0,14.0,0.015
160,0.113,0.337,20.583,4.537,14.0,14.0,10.348
161,0.271,0.52,51.591,7.183,15.0,14.0,25.931
162,7.099,2.664,0.129,0.359,1.0,15.0,3.614
163,1.047,1.023,41.273,6.424,2.0,15.0,21.16
164,0.384,0.62,8.306,2.882,3.0,15.0,4.345
165,2.076,1.441,0.001,0.025,4.0,15.0,1.038
166,11.88,3.447,3.182,1.784,5.0,15.0,7.531
167,0.193,0.439,1.0,1.0,7.0,15.0,0.597
168,0.027,0.165,9.083,3.014,8.0,15.0,4.555
169,0.417,0.646,5.918,2.433,9.0,15.0,3.167
170,0.65,0.806,5.322,2.307,11.0,15.0,2.986
171,0.913,0.955,11.619,3.409,12.0,15.0,6.266
172,0.004,0.059,3.928,1.982,13.0,15.0,1.966
173,14.297,3.781,149.367,12.222,14.0,15.0,81.832
174,0.05,0.223,19.468,4.412,15.0,15.0,9.759
175,0.031,0.177,47.001,6.856,1.0,16.0,23.516
176,8.622,2.936,0.049,0.221,2.0,16.0,4.336
177,1.098,1.048,3.635,1.907,3.0,16.0,2.366
178,0.107,0.328,2.111,1.453,4.0,16.0,1.109
179,3.804,1.95,2.383,1.544,5.0,16.0,3.094
180,0.101,0.318,0.28,0.529,7.0,16.0,0.191
181,0.153,0.391,95.729,9.784,8.0,16.0,47.941
182,4.558,2.135,1.445,1.202,9.0,16.0,3.001
183,0.072,0.268,26.507,5.148,11.0,16.0,13.289
184,1.459,1.208,40.069,6.33,12.0,16.0,20.764
185,4.928,2.22,29.871,5.465,13.0,16.0,17.4
186,0.001,0.034,25.937,5.093,14.0,16.0,12.969
187,10.987,3.315,14.742,3.84,15.0,16.0,12.865
188,0.231,0.48,0.019,0.138,1.0,17.0,0.125
189,1.691,1.3,6.998,2.645,2.0,17.0,4.345
190,3.404,1.845,3.99,1.998,3.0,17.0,3.697
191,0.985,0.992,5.833,2.415,4.0,17.0,3.409
192,2.704,1.644,7.207,2.685,5.0,17.0,4.956
193,0.251,0.501,9.092,3.015,7.0,17.0,4.671
194,0.567,0.753,1.8,1.342,8.0,17.0,1.183
195,0.178,0.422,12.927,3.595,9.0,17.0,6.553
196,15.13,3.89,0.053,0.229,11.0,17.0,7.591
197,0.119,0.346,5.272,2.296,12.0,17.0,2.696
198,0.227,0.477,3.18,1.783,13.0,17.0,1.704
199,3.737,1.933,3.177,1.782,14.0,17.0,3.457
200,16.429,4.053,3.994,1.999,15.0,17.0,10.212
201,3.869,1.967,0.373,0.611,7.0,18.0,2.121
202,0.898,0.948,10.694,3.27,8.0,18.0,5.796
203,1.147,1.071,4.102,2.025,9.0,18.0,2.624
204,7.177,2.679,3.027,1.74,1.0,19.0,5.102
205,0.53,0.728,1.863,1.365,2.0,19.0,1.196
206,0.282,0.531,19.471,4.413,3.0,19.0,9.877
207,0.009,0.095,6.919,2.63,4.0,19.0,3.464
208,1.217,1.103,23.454,4.843,5.0,19.0,12.335
209,16.144,4.018,10.151,3.186,7.0,19.0,13.148
210,0.042,0.205,1.431,1.196,8.0,19.0,0.737
211,0.06,0.244,2.772,1.665,9.0,19.0,1.416
212,2.357,1.535,26.192,5.118,11.0,19.0,14.275
213,0.361,0.601,0.217,0.466,12.0,19.0,0.289
214,1.582,1.258,27.754,5.268,13.0,19.0,14.668
215,0.605,0.778,16.596,4.074,14.0,19.0,8.601
216,7.684,2.772,49.072,7.005,15.0,19.0,28.378
217,13.674,3.698,0.216,0.464,1.0,20.0,6.945
218,0.999,0.999,3.286,1.813,2.0,20.0,2.142
219,0.656,0.81,4.715,2.171,3.0,20.0,2.685
220,0.579,0.761,0.866,0.93,4.0,20.0,0.722
221,0.023,0.151,2.329,1.526,5.0,20.0,1.176
222,0.509,0.713,7.731,2.781,7.0,20.0,4.12
223,1.828,1.352,36.122,6.01,8.0,20.0,18.975
224,0.123,0.351,38.185,6.179,9.0,20.0,19.154
225,8.996,2.999,0.024,0.155,11.0,20.0,4.51
226,9.46,3.076,1.904,1.38,12.0,20.0,5.682
227,7.674,2.77,0.815,0.903,13.0,20.0,4.245
228,8.305,2.882,74.398,8.625,14.0,20.0,41.351
229,0.434,0.659,10.438,3.231,15.0,20.0,5.436
230,2.707,1.645,1.149,1.072,1.0,21.0,1.928
231,8.203,2.864,11.725,3.424,2.0,21.0,9.964
232,0.965,0.982,1.056,1.028,3.0,21.0,1.01
233,0.028,0.167,0.107,0.326,4.0,21.0,0.067
234,0.119,0.346,4.973,2.23,5.0,21.0,2.546
235,3.485,1.867,8.124,2.85,7.0,21.0,5.805
236,0.241,0.491,2.153,1.467,8.0,21.0,1.197
237,1.153,1.074,4.634,2.153,9.0,21.0,2.894
238,0.769,0.877,1.818,1.348,11.0,21.0,1.293
239,0.335,0.579,1.073,1.036,12.0,21.0,0.704
240,0.133,0.364,0.082,0.286,13.0,21.0,0.107
241,6.044,2.458,0.2,0.447,14.0,21.0,3.122
242,0.08,0.283,0.013,0.114,15.0,21.0,0.047
243,0.531,0.729,0.764,0.874,1.0,22.0,0.647
244,2.123,1.457,0.5,0.707,2.0,22.0,1.312
245,0.103,0.322,1.557,1.248,3.0,22.0,0.83
246,0.6,0.775,11.699,3.42,4.0,22.0,6.15
247,0.092,0.303,0.022,0.147,5.0,22.0,0.057
248,1.216,1.103,22.621,4.756,7.0,22.0,11.918
249,1.339,1.157,6.628,2.574,8.0,22.0,3.984
250,0.053,0.229,0.261,0.511,9.0,22.0,0.157
251,0.457,0.676,3.266,1.807,11.0,22.0,1.861
252,12.807,3.579,0.382,0.618,12.0,22.0,6.595
253,0.122,0.349,1.861,1.364,13.0,22.0,0.992
254,9.181,3.03,0.165,0.406,14.0,22.0,4.673
255,34.115,5.841,11.624,3.409,15.0,22.0,22.869
256,3.829,1.957,6.829,2.613,1.0,23.0,5.329
257,5.008,2.238,0.363,0.603,2.0,23.0,2.686
258,2.536,1.592,14.367,3.79,3.0,23.0,8.451
259,0.515,0.718,11.146,3.339,4.0,23.0,5.831
260,0.2,0.448,2.207,1.486,5.0,23.0,1.204
261,6.496,2.549,66.942,8.182,7.0,23.0,36.719
262,3.989,1.997,79.171,8.898,8.0,23.0,41.58
263,0.006,0.076,10.412,3.227,9.0,23.0,5.209
264,1.317,1.148,5.147,2.269,11.0,23.0,3.232
265,0.868,0.932,13.696,3.701,12.0,23.0,7.282
266,3.411,1.847,0.288,0.537,13.0,23.0,1.849
267,13.362,3.655,4.05,2.012,14.0,23.0,8.706
268,7.637,2.764,0.04,0.2,15.0,23.0,3.839
269,4.227,2.056,14.753,3.841,1.0,25.0,9.49
270,48.066,6.933,6.06,2.462,2.0,25.0,27.063
